[ 2016-10-17T12:08:57+08:00 ] /admin.php/Prize/addprize | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000027s ]
[ 2016-10-17T12:08:57+08:00 ] /admin.php/Prize/addprize | INFO: Run ShowRuntime Behavior [ RunTime:0.000045s ]
[ 2016-10-17T12:08:57+08:00 ] /admin.php/Prize/addprize | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000241s ]
[ 2016-10-17T12:08:57+08:00 ] /admin.php/Prize/addprize | INFO: Tag[ view_end ] --START--
[ 2016-10-17T12:08:57+08:00 ] /admin.php/Prize/addprize | INFO: Run ShowPageTrace Behavior [ RunTime:0.000022s ]
[ 2016-10-17T12:08:57+08:00 ] /admin.php/Prize/addprize | INFO: Tag[ view_end ] --END-- [ RunTime:0.000035s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Tag[ route_check ] --START--
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Run CheckRoute Behavior [ RunTime:0.000048s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Tag[ route_check ] --END-- [ RunTime:0.000138s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Tag[ app_begin ] --START--
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000041s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000063s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | SQL: SHOW COLUMNS FROM `march_prize` [ RunTime:0.000284s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | SQL: SELECT COUNT(*) AS tp_count FROM `march_prize` LIMIT 1   [ RunTime:0.000102s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | NOTIC: [8] Undefined index: header Page.class.php 第 137 行.
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | SQL: SELECT * FROM `march_prize` ORDER BY prize_id desc LIMIT 0,5   [ RunTime:0.000189s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Tag[ view_template ] --START--
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Run LocationTemplate Behavior [ RunTime:0.000051s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Tag[ view_template ] --END-- [ RunTime:0.000068s ]
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | INFO: Tag[ view_parse ] --START--
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-17T12:08:58+08:00 ] /admin.php/Prize/prizelist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
