[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/login.html | INFO: Tag[ view_end ] --START--
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000823s ]
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000862s ]
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/verify/ | INFO: Tag[ route_check ] --START--
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000050s ]
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000128s ]
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/verify/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/verify/ | INFO: Tag[ app_begin ] --START--
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000046s ]
[ 2016-10-11T11:17:16+08:00 ] /marchsoft.cn/admin.php/Index/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000071s ]
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Tag[ route_check ] --START--
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000038s ]
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000096s ]
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000032s ]
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000048s ]
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Tag[ view_template ] --START--
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000032s ]
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000050s ]
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-11T11:17:37+08:00 ] /marchsoft.cn/admin.php/Index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
