[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Run ParseTemplate Behavior [ RunTime:0.002525s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002563s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Tag[ view_filter ] --START--
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Run ContentReplace Behavior [ RunTime:0.000067s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Run TokenBuild Behavior [ RunTime:0.000041s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000028s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Run ShowRuntime Behavior [ RunTime:0.000057s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000256s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Tag[ view_end ] --START--
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000034s ]
[ 2016-09-24T20:53:03+08:00 ] /index.php/Index/index_rmg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000056s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Tag[ route_check ] --START--
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Run CheckRoute Behavior [ RunTime:0.000078s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000175s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Tag[ app_begin ] --START--
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000049s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000077s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | SQL: SHOW COLUMNS FROM `march_news` [ RunTime:0.011811s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | SQL: SELECT * FROM `march_news` WHERE idmarch_news = '308'  [ RunTime:0.010731s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | SQL: update march_news set news_num = news_num+1 where idmarch_news ='308' [ RunTime:0.022533s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Tag[ view_template ] --START--
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000102s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000132s ]
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | INFO: Tag[ view_parse ] --START--
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-24T20:53:11+08:00 ] /index.php/News/show/nid/308.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
